,presicion,recall,f1
tau:1.00-gamma:0.01-C:0.80-bound:0.50,0.6466346153846154,0.5059445385532342,0.5600485276204371
tau:1.00-gamma:0.01-C:0.80-bound:0.30,0.5214809806425763,0.7348616930996794,0.6078370048253289
tau:1.00-gamma:0.01-C:0.80-bound:0.10,0.36827889120795293,0.8142391552002536,0.5051970446273588
tau:1.00-gamma:0.01-C:0.80-bound:0.05,0.3300438594241944,0.8860408597250703,0.479847481367822
tau:1.00-gamma:0.01-C:0.80-bound:0.03,0.3081683736267958,0.9418242576137313,0.4632589699787491
tau:1.00-gamma:0.01-C:0.80-bound:0.01,0.21933010985430337,0.9581719450140502,0.35586989271448005
tau:1.00-gamma:0.01-C:1.00-bound:0.50,0.6292048229548229,0.48285651546521113,0.5361695515526784
tau:1.00-gamma:0.01-C:1.00-bound:0.30,0.538803462332874,0.7272859355239217,0.6156544418544515
tau:1.00-gamma:0.01-C:1.00-bound:0.10,0.38026763385459045,0.8230110850248149,0.5186113051731501
tau:1.00-gamma:0.01-C:1.00-bound:0.05,0.3335444333576656,0.9027492974861396,0.4860050869535965
tau:1.00-gamma:0.01-C:1.00-bound:0.03,0.3191252240143369,0.9418242576137313,0.47568548181279563
tau:1.00-gamma:0.01-C:1.00-bound:0.01,0.23183357290500148,0.9661084529505581,0.37289523394362106
tau:1.00-gamma:0.01-C:2.00-bound:0.50,0.6647172272172273,0.49800803061672627,0.5587073560987269
tau:1.00-gamma:0.01-C:2.00-bound:0.30,0.5650109979889392,0.7117736700116564,0.6253185349898736
tau:1.00-gamma:0.01-C:2.00-bound:0.10,0.3864428040719834,0.8305868426005726,0.5261695422368938
tau:1.00-gamma:0.01-C:2.00-bound:0.05,0.3527024097513511,0.9254765702134122,0.5094023442564456
tau:1.00-gamma:0.01-C:2.00-bound:0.03,0.32758908564053313,0.9418242576137313,0.48485014120265796
tau:1.00-gamma:0.01-C:2.00-bound:0.01,0.24826097618271106,0.9824561403508771,0.39546506233992235
tau:1.00-gamma:0.05-C:0.30-bound:0.50,0.648221916971917,0.5214568040654997,0.5716709776149801
tau:1.00-gamma:0.05-C:0.30-bound:0.30,0.5359457209457209,0.7197101779481643,0.6101807085658444
tau:1.00-gamma:0.05-C:0.30-bound:0.10,0.3815497359646296,0.8305868426005726,0.5218811334616874
