,presicion,recall,f1
tau:1.10-gamma:0.50-C:0.60,0.47529227776294447,0.9354446722867776,0.6287055698227418
tau:1.10-gamma:0.50-C:0.70,0.48615553159067354,0.9202931571352625,0.6342397298042459
tau:1.10-gamma:0.50-C:0.80,0.4870679026231299,0.8960089617984356,0.6294877655869034
tau:1.10-gamma:0.50-C:0.90,0.4907964938517211,0.8884332042226779,0.6307864451033892
tau:1.10-gamma:0.50-C:1.00,0.5011521614128847,0.8732503194745758,0.6358629218320306
tau:1.10-gamma:1.00-C:0.30,0.4488736795531221,0.944216602111339,0.6076172335813861
tau:1.10-gamma:1.00-C:0.40,0.4726291584110658,0.92786891471102,0.6246901748376225
tau:1.10-gamma:1.00-C:0.50,0.5001116557599227,0.8784651021493127,0.6359688369774105
tau:1.10-gamma:1.00-C:0.60,0.5118977401258608,0.862952836637047,0.6411076394526337
tau:1.10-gamma:1.00-C:0.70,0.5547268502107212,0.8550163287005391,0.6711497723214096
tau:1.10-gamma:1.00-C:0.80,0.5801948010924167,0.8386686413002202,0.6834406055160772
tau:1.10-gamma:1.00-C:0.90,0.5962761819596211,0.8071694387483862,0.6813837527244445
tau:1.10-gamma:1.00-C:1.00,0.6039337474120082,0.7844107964245263,0.6788155262104841
tau:1.20-gamma:0.01-C:0.30,0.2824641960558852,0.9111604769499507,0.43021548695049283
tau:1.20-gamma:0.01-C:0.40,0.2878332369667405,0.9266727424622161,0.43768956494748346
tau:1.20-gamma:0.01-C:0.50,0.29098623524300304,0.9266727424622161,0.4414417700813575
tau:1.20-gamma:0.01-C:0.60,0.2958697723328661,0.9266727424622161,0.447295608823199
tau:1.20-gamma:0.01-C:0.70,0.30594422653657727,0.9342485000379738,0.45958786783553074
tau:1.20-gamma:0.01-C:0.80,0.31079924969517186,0.9418242576137313,0.4661535342830498
tau:1.20-gamma:0.01-C:0.90,0.3144475911173881,0.9418242576137313,0.4703568537103926
tau:1.20-gamma:0.01-C:1.00,0.31759988492106306,0.9418242576137313,0.4739439283471043
tau:1.20-gamma:0.05-C:0.30,0.32182262001681644,0.9418242576137313,0.4786223122324662
tau:1.20-gamma:0.05-C:0.40,0.3234520814414177,0.9418242576137313,0.48047611568037657
tau:1.20-gamma:0.05-C:0.50,0.3277451557529916,0.9585326953748007,0.48744710573978867
tau:1.20-gamma:0.05-C:0.60,0.3294912781165978,0.9661084529505581,0.4905469080933224
tau:1.20-gamma:0.05-C:0.70,0.3334305411516596,0.9661084529505581,0.4950354387336146
tau:1.20-gamma:0.05-C:0.80,0.33074567930621845,0.9661084529505581,0.49232822296375556
tau:1.20-gamma:0.05-C:0.90,0.3275447418585395,0.9661084529505581,0.4888649754045293
tau:1.20-gamma:0.05-C:1.00,0.3296570345989406,0.9661084529505581,0.491361793513281
tau:1.20-gamma:0.10-C:0.30,0.3268090569561158,0.9661084529505581,0.48734475459131876
tau:1.20-gamma:0.10-C:0.40,0.3283750795003992,0.9661084529505581,0.48959656462307577
tau:1.20-gamma:0.10-C:0.50,0.32810142779931883,0.9661084529505581,0.48956976814530623
tau:1.20-gamma:0.10-C:0.60,0.3368392961713105,0.9748803827751197,0.5005584272084382
tau:1.20-gamma:0.10-C:0.70,0.348638419458939,0.9661084529505581,0.5121821626948465
tau:1.20-gamma:0.10-C:0.80,0.35899900705152704,0.9748803827751197,0.5244614326381877
tau:1.20-gamma:0.10-C:0.90,0.3649583526307664,0.9748803827751197,0.5308755464318335
tau:1.20-gamma:0.10-C:1.00,0.37254215750148206,0.9748803827751197,0.5389290634949742
tau:1.20-gamma:0.15-C:0.30,0.32393851398384815,0.9661084529505581,0.48487695682817633
tau:1.20-gamma:0.15-C:0.40,0.3343817562845374,0.9748803827751197,0.49775898183325684
tau:1.20-gamma:0.15-C:0.50,0.34970418049117086,0.9748803827751197,0.5145522081789272
tau:1.20-gamma:0.15-C:0.60,0.36283380141237204,0.9748803827751197,0.5286310487558864
tau:1.20-gamma:0.15-C:0.70,0.37716307814992023,0.9748803827751197,0.5437583258457226
tau:1.20-gamma:0.15-C:0.80,0.38443498781173485,0.9760765550239233,0.5515194514807518
tau:1.20-gamma:0.15-C:0.90,0.393768974894583,0.9760765550239233,0.5608541962706269
tau:1.20-gamma:0.15-C:1.00,0.39828879262215505,0.9685007974481659,0.5641126233954417
tau:1.20-gamma:0.20-C:0.30,0.33345632000743536,0.9748803827751197,0.49673047757231065
tau:1.20-gamma:0.20-C:0.40,0.352570410852864,0.9748803827751197,0.5177033760536126
tau:1.20-gamma:0.20-C:0.50,0.36741037760288475,0.9748803827751197,0.5334084892922842
tau:1.20-gamma:0.20-C:0.60,0.38213899986658606,0.9760765550239233,0.5491089918594368
tau:1.20-gamma:0.20-C:0.70,0.39784406099029224,0.9760765550239233,0.5649649648126348
tau:1.20-gamma:0.20-C:0.80,0.4016330891330891,0.9609250398724084,0.5660455796103857
tau:1.20-gamma:0.20-C:0.90,0.4259602738889039,0.9609250398724084,0.5897383887241899
tau:1.20-gamma:0.20-C:1.00,0.4442913863126629,0.9529885319359003,0.6051158782666685
tau:1.20-gamma:0.25-C:0.30,0.3425549027210499,0.9748803827751197,0.5067801178621619
tau:1.20-gamma:0.25-C:0.40,0.3653923339181744,0.9748803827751197,0.53122185349577
tau:1.20-gamma:0.25-C:0.50,0.3847683797511862,0.9760765550239233,0.5517548839790132
tau:1.20-gamma:0.25-C:0.60,0.39899276608636575,0.9760765550239233,0.5661550546103196
tau:1.20-gamma:0.25-C:0.70,0.4151033777885566,0.9609250398724084,0.5793115791626811
tau:1.20-gamma:0.25-C:0.80,0.44096239514172647,0.9529885319359003,0.6020735502243405
tau:1.20-gamma:0.25-C:0.90,0.45847271715010124,0.944216602111339,0.6160956260577325
tau:1.20-gamma:0.25-C:1.00,0.46967829992349713,0.9354446722867776,0.623179942415098
tau:1.20-gamma:0.30-C:0.30,0.353767132797898,0.9748803827751197,0.5189523932225367
tau:1.20-gamma:0.30-C:0.40,0.3794665488608017,0.983652312599681,0.5474876316229994
tau:1.20-gamma:0.30-C:0.50,0.40074618063047796,0.9760765550239233,0.5678296535879328
tau:1.20-gamma:0.30-C:0.60,0.4151000771660704,0.9609250398724084,0.5793651513215163
tau:1.20-gamma:0.30-C:0.70,0.4469093251957994,0.9529885319359003,0.6077605752775627
tau:1.20-gamma:0.30-C:0.80,0.46221656522961957,0.9354446722867776,0.6171692752374288
