,peak_0-1,peak_0-2,peak_0-3,peak_1-2,peak_1-3,peak_2-3,cov_0,cov_1,cov_2,cov_3,rasterfile
mGE84-O10C1-Standard-10,9.872973445566384,7.27382651003215,2.3396051022314976,2.5991469355342325,7.533368343334885,4.934221407800653,0.0907390370327893,2.263959449476516,3.1480809093526796,0.7618022871931672,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_10.png
mGE84-O10C1-Standard-11,6.508402668977535,9.252283726371093,0.6886087192281529,2.7438810573935584,5.819793949749382,8.56367500714294,0.10555018705206094,1.1112953866953317,3.1631004699748915,0.08188205726004641,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_11.png
mGE84-O10C1-Standard-12,6.8237266903154765,3.1789563242747416,8.962539608224066,3.644770366040735,2.1388129179085906,5.7835832839493255,3.887802177228592,0.7499604540339253,2.025158958554586,0.029246167411581977,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_12.png
mGE84-O10C1-Standard-13,10.027907193282015,7.244691845348385,7.766495496500355,2.7832153479336306,2.2614116967816598,0.5218036511519708,8.089386396099563,6.7918270529570925,0.04574999846378156,0.01261511163314849,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_13.png
mGE84-O10C1-Standard-27,10.016613320491036,3.0965131093244667,3.096513520148857,6.920100211166569,6.920099800342179,4.1082439050654784e-07,4.308459378865468,5.7781635961476505,0.00916325987223079,0.009999990013686242,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_27.png
mGE84-O10C1-Standard-28,10.9202853513031,6.125344523104054,7.9164412529389665,4.794940828199046,3.0038440983641337,1.791096729834912,7.012533128295444,4.933677670865293,0.39538747984495864,0.00974951654410968,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_28.png
mGE84-O10C1-Standard-29,9.921032216251898,5.190442772621616,5.531077721692868,4.730589443630283,4.389954494559031,0.34063494907125236,14.626741914998396,2.9407980755850347,0.02026920067699916,0.010140734301880963,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_29.png
mGE84-O10C1-Standard-30,10.471456462918784,8.998289399268451,4.247009373996347,1.4731670636503331,6.224447088922436,4.751280025272103,6.308508689194784,0.29822390669318116,0.1459691336102868,2.133353294663707,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_30.png
mGE84-O10C1-Standard-31,1.6429618985914596,6.4020097733178885,11.313530931041338,4.759047874726429,9.67056903244988,4.911521157723451,0.11141740557917028,0.20040635928415887,1.6724212021080018,4.301540989670186,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_31.png
mGE84-O10C1-Predeviant-04,6.9587253403705915,10.19833719298207,6.611701880161737,3.2396118526114783,0.3470234602088542,3.5866353128203325,6.501804621567344,0.02852427716325749,2.441501798576364,0.009041201209856947,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_04.png
mGE84-O10C1-Predeviant-05,7.141559614196975,0.890051310028376,4.765923156064993,8.031610924225351,2.375636458131982,5.655974466093369,0.07239066229502272,6.667606775908697,0.07216254398084058,2.2072259681403352,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_05.png
mGE84-O10C1-Predeviant-06,6.771212467349572,5.625373356207342,2.422763101002894,1.1458391111422301,4.348449366346678,3.2026102552044478,0.2219414065194215,6.103257994148316,1.3816300040367262,0.6553744631431491,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_06.png
mGE84-O10C1-Predeviant-07,6.206945990941334,2.1970592605838384,7.098778252224738,8.404005251525172,0.8918322612834046,9.295837512808577,1.1152993256335553,0.06132080778739083,5.280438687273329,0.26017584497951224,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_07.png
mGE84-O10C1-Predeviant-08,6.2402437470969625,2.2482911967936925,7.283243440109589,8.488534943890656,1.0429996930126268,9.531534636903281,1.2961072069426938,0.05235585347535392,5.047562644870059,0.12052433532337642,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_08.png
mGE84-O10C1-Predeviant-09,7.525455123382252,7.287618960751592,6.322183780916232,0.23783616263065976,1.20327134246602,0.9654351798353602,5.2269348228832415,0.12638966788841363,0.018879768281340782,0.10744155775662302,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_09.png
mGE84-O10C1-Predeviant-10,7.9353968119521765,5.6644682678093154,10.334554469957556,2.270928544142861,2.399157658005379,4.67008620214824,5.0462342834749006,0.05150440116295768,0.43389646467803844,1.6344371789094547,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_10.png
mGE84-O10C1-Predeviant-11,5.982168964010261,5.254498967811541,6.337134396335465,0.7276699961987196,0.35496543232520406,1.0826354285239237,7.3017892573094505,0.01897425706705084,0.04686485566775268,0.04758528106003457,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_11.png
mGE84-O10C1-Predeviant-12,7.910757771712729,0.5938560255194387,0.18335612770332954,7.31690174619329,7.727401644009399,0.4104998978161092,4.854562764555016,4.418264464729784,0.020820834772737277,0.012473438396926445,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE84_30.07.2019_O10C1.mcd/Raster_NegativeSpikes_Triggers_Predeviant_ElectrodeChannel_12.png
