,presicion,recall,f1
tau:1.00-gamma:0.05-C:1.00-bound:0.05,0.35824641326431217,0.9848484848484849,0.5247953829573871
tau:1.00-gamma:0.05-C:1.00-bound:0.03,0.3215924775707384,0.9924242424242425,0.485146607108455
tau:1.00-gamma:0.05-C:1.00-bound:0.01,0.2703024892337947,1.0,0.4247273668994405
tau:1.00-gamma:0.05-C:2.00-bound:0.50,0.6682262182262182,0.5334565002757222,0.5872269328151681
tau:1.00-gamma:0.05-C:2.00-bound:0.30,0.5998631636562671,0.6431997318725008,0.6151034009483702
tau:1.00-gamma:0.05-C:2.00-bound:0.10,0.454287056612638,0.9202931571352625,0.6069527620651272
tau:1.00-gamma:0.05-C:2.00-bound:0.05,0.378345666818867,0.9760765550239233,0.5446837105546115
tau:1.00-gamma:0.05-C:2.00-bound:0.03,0.34915685476976305,1.0,0.5169417925667373
tau:1.00-gamma:0.05-C:2.00-bound:0.01,0.2823662767170659,1.0,0.43946497125194023
tau:1.00-gamma:0.10-C:0.30-bound:0.50,0.6657443863326217,0.49282461753857637,0.5556393497569969
tau:1.00-gamma:0.10-C:0.30-bound:0.30,0.5644465105109783,0.6335923801598858,0.5931019303508543
tau:1.00-gamma:0.10-C:0.30-bound:0.10,0.39217365967365964,0.9094896331738438,0.5469438023746928
tau:1.00-gamma:0.10-C:0.30-bound:0.05,0.3419446331591558,0.9848484848484849,0.5072347708574653
tau:1.00-gamma:0.10-C:0.30-bound:0.03,0.3153432126304412,0.9924242424242425,0.47795848170034144
tau:1.00-gamma:0.10-C:0.30-bound:0.01,0.2672829005586069,1.0,0.42100472745806305
tau:1.00-gamma:0.10-C:0.50-bound:0.50,0.6573916279798633,0.5004003751143339,0.5597656972656974
tau:1.00-gamma:0.10-C:0.50-bound:0.30,0.5650730797736242,0.6268520444721818,0.5894519657565601
tau:1.00-gamma:0.10-C:0.50-bound:0.10,0.40919750325758075,0.9270334928229665,0.5665087792027843
tau:1.00-gamma:0.10-C:0.50-bound:0.05,0.3573518746579092,0.9848484848484849,0.5237675781321142
tau:1.00-gamma:0.10-C:0.50-bound:0.03,0.3208333333333333,0.9924242424242425,0.4842706714499106
tau:1.00-gamma:0.10-C:0.50-bound:0.01,0.27258091172440696,1.0,0.42755914282859614
tau:1.00-gamma:0.10-C:0.70-bound:0.50,0.6591984404484404,0.5171088128754032,0.5729990826740053
