,peak_0-1,peak_0-2,peak_0-3,peak_1-2,peak_1-3,peak_2-3,cov_0,cov_1,cov_2,cov_3,rasterfile
mGE82-DOC1-Standard-10,10.384498939507768,14.939771823713833,4.836633633344256,4.555272884206065,5.547865306163512,10.103138190369577,[[0.18688323]],[[0.18688323]],[[0.18688323]],[[0.18688323]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_10.png
mGE82-DOC1-Standard-11,13.817619324997123,8.666519981458283,4.205339159056534,5.15109934353884,9.61228016594059,4.46118082240175,[[0.17055119]],[[0.17055119]],[[0.17055119]],[[0.17055119]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_11.png
mGE82-DOC1-Standard-12,7.091144609339892,11.6656239960219,4.7096016349021514,4.574479386682008,2.3815429744377408,6.956022361119749,[[0.1324007]],[[0.1324007]],[[0.1324007]],[[0.1324007]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_12.png
mGE82-DOC1-Standard-13,12.157702485241604,3.2504739798976328,5.886702951960078,8.907228505343973,6.270999533281526,2.6362289720624457,[[0.15691456]],[[0.15691456]],[[0.15691456]],[[0.15691456]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_13.png
mGE82-DOC1-Standard-27,16.493678093077946,3.184169846798668,13.74588750799531,13.309508246279279,2.7477905850826367,10.561717661196642,[[0.36102176]],[[0.36102176]],[[0.36102176]],[[0.36102176]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_27.png
mGE82-DOC1-Standard-28,12.136895803245205,16.84369660619739,14.463463770950456,4.706800802952184,2.3265679677052518,2.3802328352469324,[[0.31991452]],[[0.31991452]],[[0.31991452]],[[0.31991452]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_28.png
mGE82-DOC1-Standard-29,14.082786203631642,11.808031656782902,16.436122247199176,2.274754546848741,2.3533360435675323,4.6280905904162735,[[0.32339838]],[[0.32339838]],[[0.32339838]],[[0.32339838]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_29.png
mGE82-DOC1-Standard-30,16.362937586988263,12.84127606576256,3.046078741706241,3.5216615212257034,13.316858845282024,9.79519732405632,[[0.29535654]],[[0.29535654]],[[0.29535654]],[[0.29535654]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_30.png
mGE82-DOC1-Standard-31,16.293932534461984,3.209409875397623,5.623759678286034,13.08452265906436,10.670172856175949,2.4143498028884114,[[0.31472097]],[[0.31472097]],[[0.31472097]],[[0.31472097]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_31.png
mGE82-DOC1-Deviant-04,12.848881248815507,7.0662876637804075,5.207792485313288,5.7825935850351,7.6410887635022195,1.8584951784671198,[[0.14735777]],[[0.14735777]],[[0.14735777]],[[0.14735777]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Deviant_ElectrodeChannel_04.png
mGE82-DOC1-Deviant-07,11.831428282368385,5.4560496153911835,3.3668139533518087,6.375378666977203,8.464614329016577,2.089235662039375,[[0.13661813]],[[0.13661813]],[[0.13661813]],[[0.13661813]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Deviant_ElectrodeChannel_07.png
mGE82-DOC1-Deviant-09,4.925496326910016,11.636221870318149,3.156352765836999,6.710725543408133,8.081849092747015,14.792574636155148,[[0.17401127]],[[0.17401127]],[[0.17401127]],[[0.17401127]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Deviant_ElectrodeChannel_09.png
mGE82-DOC1-Deviant-27,2.9853545888441957,13.992980767640795,8.952674886792618,11.007626178796599,5.967320297948422,5.040305880848176,[[0.19101529]],[[0.19101529]],[[0.19101529]],[[0.19101529]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Deviant_ElectrodeChannel_27.png
mGE82-DOC1-Deviant-28,14.022865462475949,3.370462798930502,9.587434601423357,10.652402663545447,4.435430861052591,6.216971802492854,[[0.17935295]],[[0.17935295]],[[0.17935295]],[[0.17935295]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Deviant_ElectrodeChannel_28.png
mGE82-DOC1-Deviant-29,2.9170499455488645,11.409842123104637,7.70863089730028,14.326892068653502,10.625680842849144,3.7012112258043572,[[0.18985942]],[[0.18985942]],[[0.18985942]],[[0.18985942]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Deviant_ElectrodeChannel_29.png
mGE82-DOC1-Deviant-30,9.374865691398265,3.4332652360917186,13.109028305522028,5.941600455306546,3.734162614123763,9.675763069430309,[[0.15887357]],[[0.15887357]],[[0.15887357]],[[0.15887357]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Deviant_ElectrodeChannel_30.png
mGE82-DOC1-Deviant-31,10.221677787804264,13.834976201250761,8.260923445780662,3.613298413446495,1.9607543420236029,5.574052755470098,[[0.17594358]],[[0.17594358]],[[0.17594358]],[[0.17594358]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Deviant_ElectrodeChannel_31.png
mGE83-DOC1-Standard-02,3.1735253560359187,7.216824481958515,12.313070141910956,4.043299125922596,9.139544785875035,5.09624565995244,[[0.12869275]],[[0.12869275]],[[0.12869275]],[[0.12869275]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_02.png
mGE83-DOC1-Standard-03,1.9596086919686364,4.8429052703674955,3.312649584236537,2.883296578398859,1.3530408922679005,1.5302556861309586,[[0.34103005]],[[0.34103005]],[[0.34103005]],[[0.34103005]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_03.png
mGE83-DOC1-Standard-04,1.5145654181197301,2.6022483443967843,5.917600438821781,1.0876829262770542,4.403035020702051,3.3153520944249966,[[0.3890741]],[[0.3890741]],[[0.3890741]],[[0.3890741]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_04.png
mGE83-DOC1-Standard-05,2.1452231105963975,4.464788801860941,1.5237458232987322,2.3195656912645433,0.6214772872976653,2.9410429785622085,[[0.46615271]],[[0.46615271]],[[0.46615271]],[[0.46615271]],/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE83_29.07.2019_DOC1.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_05.png
